ID_c,N_c,N_clg,N_c_clg,Y_clg,Y_c,C_clg,C_c,ID_s,SQM,CA,VAR,SI,HAR,LAT,VC_c_2d,VC_c_3d,AVG(UTCI)_5:00,AVG(UTCI)_6:00,AVG(UTCI)_7:00,AVG(UTCI)_8:00,AVG(UTCI)_9:00,AVG(UTCI)_10:00,AVG(UTCI)_11:00,AVG(UTCI)_12:00,AVG(UTCI)_13:00,AVG(UTCI)_14:00,AVG(UTCI)_15:00,AVG(UTCI)_16:00,AVG(UTCI)_17:00,AVG(UTCI)_18:00,AVG(UTCI)_19:00,AVG(UTCI)_20:00,AVG(UTCI)_21:00,AVG(UTCI)_22:00,AVG(UTCI)_23:00,AVG(UTCI)_0:00,AVG(UTCI)_1:00,AVG(UTCI)_2:00,AVG(UTCI)_3:00,AVG(UTCI)_4:00
81,Lerner,Clare,Lerner_Clare,1326,2008,1300s,2000s,SW_22,180*180,566.402,3.561,1.020,1.037,91.024,0.287,0.000,16.569133,20.490208,25.687779,29.586609,32.282297,34.72202,36.339867,37.299577,37.217113,37.39772,36.312828,35.515788,32.388369,29.496952,27.259356,25.563626,21.364907,19.972411,18.977286,18.321751,17.981041,17.697821,17.067329,16.453164
82,Ashby,Clare,Ashby_Clare,1326,1986,1300s,1900s,SW_22,180*180,1094.484,2.793,1.156,1.171,0.326,0.264,0.155,16.494245,19.579167,25.495771,29.585533,31.949842,34.354546,36.076046,37.367733,37.527945,37.960688,37.656465,36.114945,33.628562,29.415757,27.242798,25.638971,20.958685,19.570487,18.570686,17.884983,17.756597,17.503062,16.807271,16.241332
83,Thirkill,Clare,Thirkill_Clare,1326,1955,1300s,1900s,SW_22,180*180,1063.117,2.715,1.006,1.022,0.961,0.420,0.053,16.559889,20.091095,25.5471,29.779705,32.571153,34.596745,36.234556,37.31258,37.293274,37.392899,36.424943,35.618432,32.614613,29.403067,27.256658,25.690466,21.225087,19.997738,19.031696,18.368998,17.965246,17.713102,17.100855,16.464685
84,NA_E,Clare_Hall,NA_E_Clare_Hall,1966,1969,1900s,1900s,SW_23,120*120,143.152,4.448,1.345,2.712,14.143,0.000,0.000,16.23944,19.327377,23.368754,26.863544,31.001837,33.278083,36.361723,38.570793,40.57067,40.504896,39.591539,35.981365,32.567106,30.075573,27.373027,25.437587,21.152096,19.801928,18.784546,18.125454,17.740434,17.432031,16.811002,16.176384
85,NA_W1,Clare_Hall,NA_W1_Clare_Hall,1966,1969,1900s,1900s,SW_23,120*120,73.403,4.164,1.001,1.109,104.098,0.000,0.000,16.21373,19.30265,23.330799,28.716605,32.895493,35.790663,37.725228,38.669088,39.502113,38.144142,37.905931,35.890682,32.29764,29.930684,27.398237,25.437347,21.148492,19.782565,18.759002,18.097522,17.728368,17.416179,16.779737,16.155605
86,NA_W2,Clare_Hall,NA_W2_Clare_Hall,1966,1969,1900s,1900s,SW_23,120*120,55.083,4.481,1.014,1.398,104.163,0.000,0.000,16.248999,19.32795,23.349837,29.227098,31.66204,34.828813,36.975464,38.01139,38.933471,37.989622,37.698115,36.436276,32.413479,29.989001,27.435564,25.464506,21.202485,19.840699,18.801741,18.144504,17.766126,17.456035,16.825708,16.201064
87,NA_W3,Clare_Hall,NA_W3_Clare_Hall,1966,1969,1900s,1900s,SW_23,120*120,63.691,2.857,1.005,1.219,103.414,0.000,0.000,16.137082,19.198647,24.314128,29.810887,33.107389,35.912925,38.544462,39.56565,40.625056,41.368093,40.63772,38.027288,32.384852,29.970038,27.418267,25.474092,21.106743,19.755734,18.691045,18.031131,17.618149,17.312966,16.689636,16.04103
88,Sidgwick_Hall,Newnham,Sidgwick_Hall_Newnham,1871,1956,1800s,1900s,SW_24,120*120,358.377,3.099,1.097,1.063,5.587,0.000,0.219,16.635619,19.906173,23.795809,27.622405,30.570032,33.615077,36.085445,37.976888,38.281146,38.128812,36.263266,34.93835,32.62182,30.376461,27.525039,25.647894,21.531675,20.192011,19.134782,18.488434,18.088295,17.784686,17.175929,16.539134
89,Courtyard,Downing_Site,Courtyard_Downing_Site,1900,1930,1900s,1900s,CC_25,180*180,1968.587,2.072,1.001,1.040,69.900,0.386,0.188,16.63787,19.999254,24.872108,28.590053,31.327357,33.965316,35.614293,36.678869,36.963857,37.024995,36.004913,34.037892,31.408255,29.24434,27.214952,25.676559,21.435372,20.04997,18.939184,18.296193,17.968389,17.704736,17.090028,16.464557
90,Old_Cavendish,New_Museum_Site,Old_Cavendish_New_Museum_Site,1762,1874,1700s,1800s,CC_26,180*180,698.128,5.180,1.267,0.975,161.284,0.000,0.000,16.317511,19.088455,22.943741,27.048948,31.638983,34.663882,36.467154,37.39791,38.204622,38.473842,37.434347,34.122693,31.745971,29.653351,27.248698,25.286304,21.037795,19.811323,18.77935,18.150684,17.787715,17.493465,16.884502,16.242992
