ID_c,N_c,N_clg,N_c_clg,Y_clg,Y_c,C_clg,C_c,ID_s,SQM,CA,VAR,SI,HAR,LAT,VC_c_2d,VC_c_3d,SD(UTCI)_5:00,SD(UTCI)_6:00,SD(UTCI)_7:00,SD(UTCI)_8:00,SD(UTCI)_9:00,SD(UTCI)_10:00,SD(UTCI)_11:00,SD(UTCI)_12:00,SD(UTCI)_13:00,SD(UTCI)_14:00,SD(UTCI)_15:00,SD(UTCI)_16:00,SD(UTCI)_17:00,SD(UTCI)_18:00,SD(UTCI)_19:00,SD(UTCI)_20:00,SD(UTCI)_21:00,SD(UTCI)_22:00,SD(UTCI)_23:00,SD(UTCI)_0:00,SD(UTCI)_1:00,SD(UTCI)_2:00,SD(UTCI)_3:00,SD(UTCI)_4:00
11,Whewell_W,Trinity,Whewell_W_Trinity,1546,1860,1500s,1800s,CC_06,180*180,160.832,6.688,1.078,1.900,71.928,0.000,0.000,0.059813,0.064316,3.922042,4.482299,3.865079,3.577186,3.26257,2.77245,2.814869,3.328455,3.605133,3.739771,3.256387,0.054639,0.019359,0.017472,0.062807,0.068792,0.077274,0.082671,0.080219,0.078834,0.08464,0.088437
12,Whewell_E,Trinity,Whewell_E_Trinity,1546,1860,1500s,1800s,CC_06,180*180,704.317,3.208,1.031,1.667,51.590,0.000,0.000,0.047011,2.661591,4.451976,3.933886,3.826505,2.936363,2.857627,2.359439,2.443321,2.416439,3.45556,3.7419,3.153724,0.04099,0.02979,0.04948,0.069018,0.070005,0.089428,0.096174,0.08744,0.082343,0.090874,0.096638
13,Corfield_S,St_Johns,Corfield_S_St_Johns,1511,1879,1500s,1800s,CC_06,180*180,376.404,4.445,1.401,1.947,119.066,0.000,0.000,0.208375,4.242771,4.120652,3.764248,3.185091,2.810273,2.40786,2.153956,2.85934,3.165885,3.535514,3.443073,1.921969,0.082745,0.21064,0.128877,0.294254,0.169479,0.148651,0.15045,0.152021,0.143715,0.172704,0.172738
14,Corfield_N,St_Johns,Corfield_N_St_Johns,1511,1879,1500s,1800s,CC_06,180*180,409.501,6.769,2.192,0.870,44.883,0.118,0.000,0.178264,0.251604,4.579256,3.671957,3.513372,2.620389,2.628462,2.335108,2.539891,2.710565,3.455781,3.766917,2.615443,1.65892,0.139039,0.091385,0.685142,0.299063,0.188828,0.200111,0.195386,0.190643,0.203652,0.213031
15,St_Michael,Gonville_Caius,St_Michael_Gonville_Caius,1348,1903,1300s,1900s,CC_07,150*150,1156.548,4.038,1.966,0.361,42.350,0.385,0.049,0.089342,1.293735,3.898392,4.250069,3.998643,3.482018,3.024264,2.559073,2.530136,2.891518,3.367984,3.580164,3.641812,2.501992,0.543206,0.128343,0.517273,0.265418,0.163558,0.175475,0.144992,0.124458,0.135071,0.140718
16,New,Corpus_Cristi,New_Corpus_Cristi,1349,1823,1300s,1800s,CC_08,180*180,1847.368,1.863,1.010,1.213,171.770,0.596,0.000,0.295664,4.227906,4.316703,3.228413,3.227649,2.366093,2.150221,1.565062,1.754658,2.33289,2.969378,3.186185,3.627979,3.245622,0.675034,0.127799,0.716033,0.540658,0.265071,0.291821,0.176501,0.165565,0.193263,0.183193
17,Old,Corpus_Cristi,Old_Corpus_Cristi,1349,1352,1300s,1300s,CC_08,180*180,837.147,3.381,1.022,1.478,79.722,0.469,0.000,0.098123,3.713249,4.412261,3.425307,3.584516,2.835765,2.580371,2.153433,2.182911,2.639001,3.213601,3.297397,3.657527,3.245347,0.385969,0.06296,0.239906,0.204219,0.204315,0.22381,0.145586,0.131906,0.147717,0.144391
18,Library,Corpus_Cristi,Library_Corpus_Cristi,1349,1960,1300s,1900s,CC_08,180*180,223.719,6.973,1.301,4.315,171.550,0.000,0.000,0.083291,0.096417,0.081785,3.732846,3.209358,3.640435,3.318787,2.325881,2.332772,2.916727,3.54438,3.768549,3.37857,2.809978,0.031701,0.029666,0.251263,0.098677,0.106146,0.112792,0.112269,0.110055,0.115977,0.122625
19,Stable,Corpus_Cristi,Stable_Corpus_Cristi,1349,1920,1300s,1900s,CC_08,180*180,70.044,10.279,1.008,1.294,92.974,0.000,0.000,0.096884,0.112954,0.097608,4.333797,3.489885,3.739977,3.397385,3.233144,3.256065,3.461802,3.147602,3.800162,3.287519,3.446497,0.043589,0.016728,0.099763,0.107386,0.120846,0.127644,0.125061,0.123222,0.130582,0.13682
20,NA_E,Corpus_Cristi,NA_E_Corpus_Cristi,1349,1960,1300s,1900s,CC_08,180*180,91.866,10.737,1.289,2.104,109.475,0.000,0.000,0.045542,0.062841,2.754665,4.547084,3.221755,3.325526,2.620143,3.218149,3.248894,3.524206,2.930871,2.992839,2.248031,0.041698,0.026853,0.042768,0.052192,0.053403,0.061349,0.067299,0.061318,0.059961,0.065125,0.06822
